16-Nov-2021 14:10:36  | FRM | ### | ----------------------------------------------------------------------------
16-Nov-2021 14:11:02  | INF | ### | | CV_Y_inTADC_diff          |       -0.35mV|   0.00mV  | W/ CM minus W/O CM |
16-Nov-2021 14:11:02  | INF | ### | | CV_Z_inTADC_diff          |        0.07mV|   0.00mV  | W/ CM minus W/O CM |
16-Nov-2021 14:11:03  | INF | ### | | RATE_X_wodrivewCM_s30     |      -17.64mv|  -0.18mv  | pls compare it with CV_X_wodrivewCM in TADC |
16-Nov-2021 14:11:03  | INF | ### | | RATE_Y_wodrivewCM_s30     |      -21.36mv|   0.27mv  | pls compare it with CV_Y_wodrivewCM in TADC |
16-Nov-2021 14:11:03  | INF | ### | | RATE_Z_wodrivewCM_s30     |       -1.43mv|  -0.29mv  | pls compare it with CV_Z_wdrivewoCM in TADC |
16-Nov-2021 14:11:03  | INF | ### | | S30_CV_X_diff_wodrivewCM  |       10.08mv|   0.00mv  |  |
16-Nov-2021 14:11:03  | INF | ### | | S30_CV_Y_diff_wodrivewCM  |      -12.02mv|   0.00mv  |  |
16-Nov-2021 14:11:03  | INF | ### | | S30_CV_Z_diff_wodrivewCM  |      -19.08mv|   0.00mv  |  |
16-Nov-2021 14:11:05  | INF | ### | | CM_OFFSET_wodrive in TADC |       -1.09mV|   0.11mV  |  |
16-Nov-2021 14:11:06  | INF | ### | | Aout(4k_en)               |      378.94mV|   1.42mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
16-Nov-2021 14:11:06  | INF | ### | | Pout(4k_en)               |      -69.44mV|   0.23mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
16-Nov-2021 14:11:07  | INF | ### | | Aout(4k_en & pd_aa)       |      758.97mV|   3.28mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_aa=1 \\ saturation?~^ |
16-Nov-2021 14:11:08  | INF | ### | | Aout(4k_en & pd_ai)       |      749.63mV|   2.73mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_ai=1 \\ saturation?~^ |
16-Nov-2021 14:11:09  | INF | ### | | Aout normal mode          |      757.57mV|   3.12mV  | ^~default~^ |
16-Nov-2021 14:11:09  | INF | ### | | Normal_Rate_x             |       2.48dps|  0.05dps  | comment |
16-Nov-2021 14:11:09  | INF | ### | | Normal_Rate_y             |      -0.04dps|  0.06dps  | comment |
16-Nov-2021 14:11:09  | INF | ### | | Normal_Rate_z             |      -0.79dps|  0.05dps  | comment |
16-Nov-2021 14:11:10  | INF | ### | | Pout normal mode          |      -62.48mV|   0.23mV  | ^~default~^ |
16-Nov-2021 14:11:11  | INF | ### | | CM_OFFSET_normal in TADC  |       -1.09mV|   0.10mV  |  |
16-Nov-2021 14:11:11  | INF | ### | | AoutTrim                  |      762.50mV|   0.00mV  |  |
16-Nov-2021 14:11:12  | INF | ### | | Aout_s16                  |      757.87mV|   0.00mV  |  |
16-Nov-2021 14:11:12  | INF | ### | | Aout_rel_dev_s16          |      -0.61pct|  0.00pct  |  |
16-Nov-2021 14:11:14  | INF | ### | | S31:CM_in_Sens            |        0.06Au|   0.06Au  | comment |
16-Nov-2021 14:11:14  | INF | ### | | S31:CM_inSens_PD_AI       |        0.50Au|   0.06Au  | comment |
16-Nov-2021 14:11:15  | INF | ### | | S31:CM_inSens_PD_AA       |       -0.40Au|   0.05Au  | comment |
16-Nov-2021 14:11:16  | INF | ### | | S31:CM_inSens_PD_AIAA     |        0.01Au|   0.05Au  | comment |
16-Nov-2021 14:11:17  | INF | ### | | CV_D_in_Sens              |   23376.43LSB|  2.73LSB  | comment |
16-Nov-2021 14:11:20  | INF | ### | | GYRO_TAU                  |       67.16ms|   0.00ms  | comment |
16-Nov-2021 14:11:20  | INF | ### | | VCO_freq_measured         |       0.00KHz|  0.00KHz  | it would only work on DKT, get 0 from HMP |
16-Nov-2021 14:11:20  | INF | ### | | VCO_freq_FT               |      24.48KHz|  0.00KHz  |  |
16-Nov-2021 14:11:20  | INF | ### | | VCO_freq_dev              |    24482.00Hz|   0.00Hz  | 100Hz dev max, This data will only be available when the FA script run on DKT |
16-Nov-2021 14:11:21  | INF | ### | | Gyro_rate_raw_x           |       0.26dps|  0.05dps  | comment |
16-Nov-2021 14:11:21  | INF | ### | | Gyro_rate_raw_y           |       2.92dps|  0.04dps  | comment |
16-Nov-2021 14:11:21  | INF | ### | | Gyro_rate_raw_z           |      -8.49dps|  0.06dps  | comment |
16-Nov-2021 14:11:22  | INF | ### | | Quad_q2r_res_x            |     192.18dps|  0.37dps  | comment |
