10-Dec-2021 17:05:40  | FRM | ### | ----------------------------------------------------------------------------
10-Dec-2021 17:06:06  | INF | ### | | CV_Y_inTADC_diff          |       -0.08mV|   0.00mV  | W/ CM minus W/O CM |
10-Dec-2021 17:06:06  | INF | ### | | CV_Z_inTADC_diff          |       -0.69mV|   0.00mV  | W/ CM minus W/O CM |
10-Dec-2021 17:06:07  | INF | ### | | RATE_X_wodrivewCM_s30     |       -8.06mv|  -0.20mv  | pls compare it with CV_X_wodrivewCM in TADC |
10-Dec-2021 17:06:07  | INF | ### | | RATE_Y_wodrivewCM_s30     |       31.54mv|   0.18mv  | pls compare it with CV_Y_wodrivewCM in TADC |
10-Dec-2021 17:06:07  | INF | ### | | RATE_Z_wodrivewCM_s30     |        5.62mv|  -0.48mv  | pls compare it with CV_Z_wdrivewoCM in TADC |
10-Dec-2021 17:06:07  | INF | ### | | S30_CV_X_diff_wodrivewCM  |       -0.73mv|   0.00mv  |  |
10-Dec-2021 17:06:07  | INF | ### | | S30_CV_Y_diff_wodrivewCM  |        3.25mv|   0.00mv  |  |
10-Dec-2021 17:06:07  | INF | ### | | S30_CV_Z_diff_wodrivewCM  |       -3.59mv|   0.00mv  |  |
10-Dec-2021 17:06:09  | INF | ### | | CM_OFFSET_wodrive in TADC |       -6.28mV|   0.08mV  |  |
10-Dec-2021 17:06:10  | INF | ### | | Aout(4k_en)               |      358.24mV|   1.62mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
10-Dec-2021 17:06:11  | INF | ### | | Pout(4k_en)               |      220.51mV|   0.23mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
10-Dec-2021 17:06:11  | INF | ### | | Aout(4k_en & pd_aa)       |      716.39mV|   2.47mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_aa=1 \\ saturation?~^ |
10-Dec-2021 17:06:12  | INF | ### | | Aout(4k_en & pd_ai)       |      707.58mV|   3.01mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_ai=1 \\ saturation?~^ |
10-Dec-2021 17:06:13  | INF | ### | | Aout normal mode          |      708.65mV|   2.37mV  | ^~default~^ |
10-Dec-2021 17:06:13  | INF | ### | | Normal_Rate_x             |       0.24dps|  0.05dps  | comment |
10-Dec-2021 17:06:13  | INF | ### | | Normal_Rate_y             |      -0.02dps|  0.06dps  | comment |
10-Dec-2021 17:06:13  | INF | ### | | Normal_Rate_z             |      -0.07dps|  0.05dps  | comment |
10-Dec-2021 17:06:14  | INF | ### | | Pout normal mode          |      226.86mV|   0.31mV  | ^~default~^ |
10-Dec-2021 17:06:15  | INF | ### | | CM_OFFSET_normal in TADC  |       -6.24mV|   0.08mV  |  |
10-Dec-2021 17:06:15  | INF | ### | | AoutTrim                  |      716.80mV|   0.00mV  |  |
10-Dec-2021 17:06:16  | INF | ### | | Aout_s16                  |      709.61mV|   0.00mV  |  |
10-Dec-2021 17:06:16  | INF | ### | | Aout_rel_dev_s16          |      -1.00pct|  0.00pct  |  |
10-Dec-2021 17:06:18  | INF | ### | | S31:CM_in_Sens            |        0.05Au|   0.03Au  | comment |
10-Dec-2021 17:06:18  | INF | ### | | S31:CM_inSens_PD_AI       |        0.56Au|   0.06Au  | comment |
10-Dec-2021 17:06:19  | INF | ### | | S31:CM_inSens_PD_AA       |       -0.49Au|   0.04Au  | comment |
10-Dec-2021 17:06:20  | INF | ### | | S31:CM_inSens_PD_AIAA     |        0.02Au|   0.04Au  | comment |
10-Dec-2021 17:06:22  | INF | ### | | CV_D_in_Sens              |   23487.07LSB|  2.64LSB  | comment |
10-Dec-2021 17:06:24  | INF | ### | | GYRO_TAU                  |       68.64ms|   0.00ms  | comment |
10-Dec-2021 17:06:24  | INF | ### | | VCO_freq_measured         |       0.00KHz|  0.00KHz  | it would only work on DKT, get 0 from HMP |
10-Dec-2021 17:06:24  | INF | ### | | VCO_freq_FT               |      25.44KHz|  0.00KHz  |  |
10-Dec-2021 17:06:24  | INF | ### | | VCO_freq_dev              |    25437.60Hz|   0.00Hz  | 100Hz dev max, This data will only be available when the FA script run on DKT |
10-Dec-2021 17:06:25  | INF | ### | | Gyro_rate_raw_x           |      -0.02dps|  0.06dps  | comment |
10-Dec-2021 17:06:25  | INF | ### | | Gyro_rate_raw_y           |       1.81dps|  0.05dps  | comment |
10-Dec-2021 17:06:25  | INF | ### | | Gyro_rate_raw_z           |       2.84dps|  0.04dps  | comment |
10-Dec-2021 17:06:26  | INF | ### | | Quad_q2r_res_x            |     -37.88dps|  0.49dps  | comment |
10-Dec-2021 17:06:26  | INF | ### | | Quad_q2r_res_y            |     419.94dps|  0.22dps  | comment |
10-Dec-2021 17:06:26  | INF | ### | | Quad_q2r_res_z            |       7.62dps|  1.52dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Rdiff_cvs_x               |       0.41dps|  0.00dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Rdiff_cvs_y               |       1.39dps|  0.00dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Rdiff_cvs_z               |       0.01dps|  0.00dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Qdiff_cvs_x               |   -1492.80dps|  0.00dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Qdiff_cvs_y               |   -2351.84dps|  0.00dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Qdiff_cvs_z               |    1199.47dps|  0.00dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Phase_cvs_x               |     -0.27mrad| 0.00mrad  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Phase_cvs_y               |     -0.59mrad| 0.00mrad  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Phase_cvs_z               |      0.01mrad| 0.00mrad  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Rdiff_x                   |       0.37dps|  0.00dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Rdiff_y                   |      -0.75dps|  0.00dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Rdiff_z                   |       0.84dps|  0.00dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Qdiff_x                   |    -187.39dps|  0.00dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Qdiff_y                   |     208.13dps|  0.00dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Qdiff_z                   |    -371.41dps|  0.00dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Phase_TOSK_x              |     -1.97mrad| 0.00mrad  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Phase_TOSK_y              |     -3.60mrad| 0.00mrad  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Phase_TOSK_z              |     -2.26mrad| 0.00mrad  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Post_Rate_x               |       0.24dps|  0.05dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Post_Rate_y               |      -0.01dps|  0.06dps  | comment |
10-Dec-2021 17:06:33  | INF | ### | | Post_Rate_z               |      -0.08dps|  0.04dps  | comment |
10-Dec-2021 17:06:35  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 0|          1.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:35  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 0|         13.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:35  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 0|          0.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:35  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 0|         28.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:37  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -3|          2.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:37  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -3|         14.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:37  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -3|          0.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:37  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -3|         29.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:38  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 3|          3.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:38  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 3|         11.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:38  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 3|          0.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:38  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 3|         28.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:40  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -2|          4.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:40  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -2|         13.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:40  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -2|          0.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:40  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -2|         32.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:42  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 2|          5.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:42  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 2|         16.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:42  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 2|          0.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:42  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 2|         32.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:43  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -1|          6.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:43  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -1|         12.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:43  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -1|          0.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:43  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -1|         28.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:45  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 1|          7.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:45  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 1|         11.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:45  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 1|          0.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:45  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 1|         27.00|     0.00  | S23 -> combo |
10-Dec-2021 17:06:45  | INF | ### | sample trace out files have been created in ;c:\TempMessdaten\\20211210170540\\AoutStartUp_Loop7_Pos1_module_id_12828_20211210170643.csv
10-Dec-2021 17:06:47  | INF | ### | | GYRO_STARTUP time         |       31.29ms|   0.00ms  | check only the mean value |
10-Dec-2021 17:06:47  | INF | ### | | ASIC_temp_start           |     21.05degC| 0.01degC  | ^~temperature taken upon start~^ |
10-Dec-2021 17:06:47  | INF | ### | | ASIC_temp_end             |     21.21degC| 0.01degC  | ^~temperature taken at the end~^ |
10-Dec-2021 17:06:47  | INF | ### | 
10-Dec-2021 17:06:48  | INF | ### | Paranoia power reset (TM)
10-Dec-2021 17:06:52  | INF | ### | | a_x_G32_stim_zp1g         |       -3.09mg|   2.45mg  | -20mg < DC < 20 mg, AC < 2 mg |
10-Dec-2021 17:06:52  | INF | ### | | a_y_G32_stim_zp1g         |       -3.16mg|   3.16mg  | -20mg < DC < 20 mg, AC < 2 mg |
10-Dec-2021 17:06:52  | INF | ### | | a_z_G32_stim_zp1g         |      994.65mg|   2.43mg  | 900mg < DC < 1100 mg, AC < 2 mg |
