16-Nov-2021 13:58:40  | INF | ### | | CV_Z_inTADC_diff          |       -0.21mV|   0.00mV  | W/ CM minus W/O CM |
16-Nov-2021 13:58:40  | INF | ### | | RATE_X_wodrivewCM_s30     |      -17.44mv|  -0.19mv  | pls compare it with CV_X_wodrivewCM in TADC |
16-Nov-2021 13:58:41  | INF | ### | | RATE_Y_wodrivewCM_s30     |      -21.17mv|   0.14mv  | pls compare it with CV_Y_wodrivewCM in TADC |
16-Nov-2021 13:58:41  | INF | ### | | RATE_Z_wodrivewCM_s30     |       -1.20mv|  -0.31mv  | pls compare it with CV_Z_wdrivewoCM in TADC |
16-Nov-2021 13:58:41  | INF | ### | | S30_CV_X_diff_wodrivewCM  |        9.98mv|   0.00mv  |  |
16-Nov-2021 13:58:41  | INF | ### | | S30_CV_Y_diff_wodrivewCM  |      -11.58mv|   0.00mv  |  |
16-Nov-2021 13:58:41  | INF | ### | | S30_CV_Z_diff_wodrivewCM  |      -18.80mv|   0.00mv  |  |
16-Nov-2021 13:58:43  | INF | ### | | CM_OFFSET_wodrive in TADC |       -1.12mV|   0.09mV  |  |
16-Nov-2021 13:58:44  | INF | ### | | Aout(4k_en)               |      378.96mV|   2.06mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
16-Nov-2021 13:58:44  | INF | ### | | Pout(4k_en)               |      -68.31mV|   0.15mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
16-Nov-2021 13:58:45  | INF | ### | | Aout(4k_en & pd_aa)       |      757.33mV|   2.16mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_aa=1 \\ saturation?~^ |
16-Nov-2021 13:58:45  | INF | ### | | Aout(4k_en & pd_ai)       |      747.32mV|   3.36mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_ai=1 \\ saturation?~^ |
16-Nov-2021 13:58:46  | INF | ### | | Aout normal mode          |      757.13mV|   3.29mV  | ^~default~^ |
16-Nov-2021 13:58:47  | INF | ### | | Normal_Rate_x             |       0.31dps|  0.06dps  | comment |
16-Nov-2021 13:58:47  | INF | ### | | Normal_Rate_y             |      -0.06dps|  0.07dps  | comment |
16-Nov-2021 13:58:47  | INF | ### | | Normal_Rate_z             |       0.06dps|  0.05dps  | comment |
16-Nov-2021 13:58:47  | INF | ### | | Pout normal mode          |      -61.50mV|   0.24mV  | ^~default~^ |
