06-Dec-2021 17:18:37  | INF | ### | | CV_Z_inTADC_diff          |        0.41mV|   0.00mV  | W/ CM minus W/O CM |
06-Dec-2021 17:18:37  | INF | ### | | RATE_X_wodrivewCM_s30     |      -12.38mv|  -0.18mv  | pls compare it with CV_X_wodrivewCM in TADC |
06-Dec-2021 17:18:38  | INF | ### | | RATE_Y_wodrivewCM_s30     |       24.35mv|   0.20mv  | pls compare it with CV_Y_wodrivewCM in TADC |
06-Dec-2021 17:18:38  | INF | ### | | RATE_Z_wodrivewCM_s30     |       -0.20mv|  -0.57mv  | pls compare it with CV_Z_wdrivewoCM in TADC |
06-Dec-2021 17:18:38  | INF | ### | | S30_CV_X_diff_wodrivewCM  |       -6.87mv|   0.00mv  |  |
06-Dec-2021 17:18:38  | INF | ### | | S30_CV_Y_diff_wodrivewCM  |       -8.93mv|   0.00mv  |  |
06-Dec-2021 17:18:38  | INF | ### | | S30_CV_Z_diff_wodrivewCM  |        7.53mv|   0.00mv  |  |
06-Dec-2021 17:18:40  | INF | ### | | CM_OFFSET_wodrive in TADC |       10.23mV|   0.05mV  |  |
06-Dec-2021 17:18:41  | INF | ### | | Aout(4k_en)               |      331.86mV|   1.96mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
06-Dec-2021 17:18:41  | INF | ### | | Pout(4k_en)               |       16.05mV|   0.33mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
06-Dec-2021 17:18:42  | INF | ### | | Aout(4k_en & pd_aa)       |      661.10mV|   2.54mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_aa=1 \\ saturation?~^ |
06-Dec-2021 17:18:43  | INF | ### | | Aout(4k_en & pd_ai)       |      653.34mV|   2.68mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_ai=1 \\ saturation?~^ |
06-Dec-2021 17:18:44  | INF | ### | | Aout normal mode          |      659.53mV|   1.80mV  | ^~default~^ |
06-Dec-2021 17:18:44  | INF | ### | | Normal_Rate_x             |       0.46dps|  0.06dps  | comment |
06-Dec-2021 17:18:44  | INF | ### | | Normal_Rate_y             |      -0.05dps|  0.07dps  | comment |
06-Dec-2021 17:18:44  | INF | ### | | Normal_Rate_z             |      -0.01dps|  0.05dps  | comment |
06-Dec-2021 17:18:45  | INF | ### | | Pout normal mode          |       21.33mV|   0.27mV  | ^~default~^ |
06-Dec-2021 17:18:47  | INF | ### | | CM_OFFSET_normal in TADC  |       10.26mV|   0.05mV  |  |
06-Dec-2021 17:18:47  | INF | ### | | AoutTrim                  |      671.09mV|   0.00mV  |  |
06-Dec-2021 17:18:47  | INF | ### | | Aout_s16                  |      659.87mV|   0.00mV  |  |
06-Dec-2021 17:18:47  | INF | ### | | Aout_rel_dev_s16          |      -1.67pct|  0.00pct  |  |
06-Dec-2021 17:18:49  | INF | ### | | S31:CM_in_Sens            |        0.07Au|   0.04Au  | comment |
06-Dec-2021 17:18:50  | INF | ### | | S31:CM_inSens_PD_AI       |        0.55Au|   0.05Au  | comment |
06-Dec-2021 17:18:51  | INF | ### | | S31:CM_inSens_PD_AA       |       -0.43Au|   0.06Au  | comment |
06-Dec-2021 17:18:51  | INF | ### | | S31:CM_inSens_PD_AIAA     |        0.04Au|   0.04Au  | comment |
06-Dec-2021 17:18:53  | INF | ### | | CV_D_in_Sens              |   23733.91LSB|  3.97LSB  | comment |
06-Dec-2021 17:18:55  | INF | ### | | GYRO_TAU                  |       70.92ms|   0.00ms  | comment |
06-Dec-2021 17:18:56  | INF | ### | | VCO_freq_measured         |       0.00KHz|  0.00KHz  | it would only work on DKT, get 0 from HMP |
06-Dec-2021 17:18:56  | INF | ### | | VCO_freq_FT               |      25.92KHz|  0.00KHz  |  |
06-Dec-2021 17:18:56  | INF | ### | | VCO_freq_dev              |    25918.40Hz|   0.00Hz  | 100Hz dev max, This data will only be available when the FA script run on DKT |
06-Dec-2021 17:18:57  | INF | ### | | Gyro_rate_raw_x           |      -6.01dps|  0.04dps  | comment |
06-Dec-2021 17:18:57  | INF | ### | | Gyro_rate_raw_y           |      -2.54dps|  0.03dps  | comment |
06-Dec-2021 17:18:57  | INF | ### | | Gyro_rate_raw_z           |      -4.43dps|  0.04dps  | comment |
06-Dec-2021 17:18:58  | INF | ### | | Quad_q2r_res_x            |     246.45dps|  1.22dps  | comment |
06-Dec-2021 17:18:58  | INF | ### | | Quad_q2r_res_y            |    -774.89dps|  0.19dps  | comment |
06-Dec-2021 17:18:58  | INF | ### | | Quad_q2r_res_z            |     -61.77dps|  0.23dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Rdiff_cvs_x               |       0.35dps|  0.00dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Rdiff_cvs_y               |       0.87dps|  0.00dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Rdiff_cvs_z               |       0.15dps|  0.00dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Qdiff_cvs_x               |   -1426.24dps|  0.00dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Qdiff_cvs_y               |   -2163.73dps|  0.00dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Qdiff_cvs_z               |    1179.40dps|  0.00dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Phase_cvs_x               |     -0.25mrad| 0.00mrad  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Phase_cvs_y               |     -0.40mrad| 0.00mrad  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Phase_cvs_z               |      0.13mrad| 0.00mrad  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Rdiff_x                   |       0.30dps|  0.00dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Rdiff_y                   |      -0.73dps|  0.00dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Rdiff_z                   |       0.76dps|  0.00dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Qdiff_x                   |    -193.67dps|  0.00dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Qdiff_y                   |     207.48dps|  0.00dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Qdiff_z                   |    -373.98dps|  0.00dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Phase_TOSK_x              |     -1.53mrad| 0.00mrad  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Phase_TOSK_y              |     -3.51mrad| 0.00mrad  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Phase_TOSK_z              |     -2.02mrad| 0.00mrad  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Post_Rate_x               |       0.42dps|  0.05dps  | comment |
06-Dec-2021 17:19:05  | INF | ### | | Post_Rate_y               |      -0.07dps|  0.07dps  | comment |
06-Dec-2021 17:19:06  | INF | ### | | Post_Rate_z               |      -0.12dps|  0.05dps  | comment |
06-Dec-2021 17:19:07  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 0|          1.00|     0.00  | S23 -> combo |
06-Dec-2021 17:19:07  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 0|         14.00|     0.00  | S23 -> combo |
06-Dec-2021 17:19:07  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 0|          0.00|     0.00  | S23 -> combo |
